date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-06-03 00:00:00+00:00,194.03,194.99,192.52,192.9,50080539,193.1434158904,194.0990293484,191.6403155554,192.0185792159,50080539,0.0,1.0
2024-06-04 00:00:00+00:00,194.35,195.32,193.0342,194.635,47471445,193.4619537097,194.4275214746,192.1521660139,193.7456514551,47471445,0.0,1.0
2024-06-05 00:00:00+00:00,195.87,196.9,194.87,195.4,54156785,194.9750083515,196.0003019575,193.9795776661,194.5071559294,54156785,0.0,1.0
2024-06-06 00:00:00+00:00,194.48,196.5,194.17,195.685,41181753,193.5913596988,195.6021296834,193.2827761863,194.7908536747,41181753,0.0,1.0
2024-06-07 00:00:00+00:00,196.89,196.94,194.14,194.65,53103912,195.9903476507,196.0401191849,193.2529132658,193.7605829153,53103912,0.0,1.0
2024-06-10 00:00:00+00:00,193.12,197.3,192.15,196.9,97262077,192.2375739667,196.3984742317,191.2720062018,196.0003019575,97262077,0.0,1.0
2024-06-11 00:00:00+00:00,207.15,207.16,193.63,193.65,172373296,206.203466483,206.2134207898,192.7452436162,192.7651522299,172373296,0.0,1.0
2024-06-12 00:00:00+00:00,213.07,220.2,206.9,207.37,198134293,212.0964161406,219.1938369276,205.9546088116,206.4224612338,198134293,0.0,1.0
2024-06-13 00:00:00+00:00,214.24,216.75,211.6,214.74,97862729,213.2610700426,215.7596010629,210.6331330331,213.7587853853,97862729,0.0,1.0
2024-06-14 00:00:00+00:00,212.49,215.17,211.3,213.85,70122748,211.5190663431,214.18682058,210.3345038274,212.8728520752,70122748,0.0,1.0
2024-06-17 00:00:00+00:00,216.67,218.95,212.72,213.37,93728300,215.6799666081,217.9495485708,211.7480154007,212.3950453462,93728300,0.0,1.0
2024-06-18 00:00:00+00:00,214.29,218.63,213.0,217.59,79943254,213.3108415768,217.6310107515,212.0267359926,216.5957628387,79943254,0.0,1.0
2024-06-20 00:00:00+00:00,209.68,214.24,208.85,213.93,86172451,208.7219061171,213.2610700426,207.8956986482,212.9524865301,86172451,0.0,1.0
2024-06-21 00:00:00+00:00,207.49,211.89,207.11,210.39,246421353,206.541912916,210.9218079318,206.1636492556,209.4286619037,246421353,0.0,1.0
2024-06-24 00:00:00+00:00,208.14,212.7,206.59,207.72,80727006,207.1889428615,211.728106787,205.6460252992,206.7708619737,80727006,0.0,1.0
2024-06-25 00:00:00+00:00,209.07,211.38,208.61,209.15,56713868,208.114693399,210.4141382823,207.6567952837,208.1943278538,56713868,0.0,1.0
2024-06-26 00:00:00+00:00,213.25,214.86,210.64,211.5,66213186,212.275593664,213.8782370675,209.6775195751,210.5335899645,66213186,0.0,1.0
2024-06-27 00:00:00+00:00,214.1,215.7395,212.35,214.69,49772707,213.1217097466,214.7537183553,211.3797060471,213.709013851,49772707,0.0,1.0
2024-06-28 00:00:00+00:00,210.62,216.07,210.3,215.77,82542718,209.6576109614,215.0827081969,209.339073142,214.7840789912,82542718,0.0,1.0
2024-07-01 00:00:00+00:00,216.75,217.51,211.92,212.09,60402929,215.7596010629,216.5161283838,210.9516708524,211.1208940689,60402929,0.0,1.0
